parent_gallery_name,parent_gallery_item_id,photo_set_name,photo_set_slug,photo_count,photo_names,photo_item_ids,source_values,grouping_source,grouping_confidence,is_singleton,warnings
Images of Christ,6a66d179891d895436262309,Crucifix,images-of-christ-crucifix,14,CRUCIFIX,6a679d860fb9b1f19aae529a | 6a679d86ef3349cb653b4e96 | 6a679d89d0581e7876fc63db | 6a679d8ab33f1426ff2933f8 | 6a679d8d3be05a134f642bc5 | 6a679d8e4b2acdc529a0eae3 | 6a679d8f8acb3b3a1418939f | 6a679d904b2acdc529a0ecf1 | 6a679d9639a6297b82e06a5d | 6a679d984b2acdc529a0f015 | 6a679d9939a6297b82e06c69 | 6a679d9adffe953a779d6178 | 6a679d9b0c02f7b16f3959db | 6a679da278a10dded912e301,es-of-christ-crucifix-10 | es-of-christ-crucifix-11 | es-of-christ-crucifix-12 | es-of-christ-crucifix-13 | ges-of-christ-crucifix-2 | ges-of-christ-crucifix-3 | ges-of-christ-crucifix-4 | ges-of-christ-crucifix-6 | ges-of-christ-crucifix-7 | ges-of-christ-crucifix-8 | ges-of-christ-crucifix-9 | image-030-6c28ab6556 | mages-of-christ-crucifix,CMS Name,high,false,truncated source filename | unusually large set | potential near-duplicate set name within the same Gallery
Images of Christ,6a66d179891d895436262309,Crucifix (Church),crucifix-church,1,CRUCIFIX (CHURCH),6a679d9e06a410138714e698,f-christ-crucifix-church,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Images of Christ,6a66d179891d895436262309,Crucifix (Golgotha Scene),crucifix-golgotha-scene,1,CRUCIFIX (GOLGOTHA SCENE),6a679d9f9e9b3c4d1d721b2d,crucifix-golgotha-scene,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Images of Christ,6a66d179891d895436262309,Crucifix with Corpus,crucifix-with-corpus,1,CRUCIFIX WITH CORPUS,6a679da13b7bf7fb5d4ad441,ist-crucifix-with-corpus,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Images of Christ,6a66d179891d895436262309,Ecce Homo,ecce-homo,1,ECCE HOMO,6a679d7fada99a788db21ef9,ages-of-christ-ecce-homo,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Head of Jesus Nazareno,head-of-jesus-nazareno,1,HEAD OF JESUS NAZARENO,6a679d81dffe953a779d538e,t-head-of-jesus-nazareno,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Holy Cross,holy-cross,1,HOLY CROSS,6a679db478a10dded912eb7a,ges-of-christ-holy-cross,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Image of Christ,image-of-christ,1,IMAGE OF CHRIST,6a679dc306a410138714fd56,image-052-2135dbb9b3,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Jesus and the Apostles at the Last Supper,jesus-and-the-apostles-at-the-last-supper,1,JESUS AND THE APOSTLES AT THE LAST SUPPER,6a679d7e0c02f7b16f39500a,image-020-d09a072615,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Jesus Nazareno,jesus-nazareno,2,JESUS NAZARENO,6a679d82ada99a788db220d2 | 6a679d84bd61fb1cdcd78c66,christ-jesus-nazareno-2 | of-christ-jesus-nazareno,CMS Name,high,false,truncated source filename
Images of Christ,6a66d179891d895436262309,La Pieta,la-pieta,1,LA PIETA,6a679d840c02f7b16f3952f2,mages-of-christ-la-pieta,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Niño Bambino,nino-bambino,1,NIÑO BAMBINO,6a679d770fb9b1f19aae46e8,image-012-ae25b4d86b,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Resurrected Christ,resurrected-christ,2,RESURRECTED CHRIST,6a679dc808b9a44c5a9bb585 | 6a679dca2ab6542afae75b4f,hrist-resurrected-christ | ist-resurrected-christ-3,CMS Name,high,false,truncated source filename
